federal_state,lat,lon
Baden-Württemberg,48.6296972,9.1949534
Bayern,48.9467562,11.4038717
Berlin,52.5170365,13.3888599
Brandenburg,52.8455492,13.2461296
Bremen,53.0758196,8.8071646
Hamburg,53.550341,10.000654
Hessen,50.6118537,9.1909725
Mecklenburg-Vorpommern,53.7735234,12.5755746
Niedersachsen,52.8398531,9.075962
Nordrhein-Westfalen,51.4781796,7.5542336
Rheinland-Pfalz,49.9531599,7.310646
Saarland,49.4173988,6.9805789
Sachsen,50.9295798,13.4585052
Schleswig-Holstein,54.1853998,9.8220089
Thüringen,50.7333163,11.0747905
Sachsen-Anhalt,51.950265,11.692274
