Lat,Lon,Titel,Titel_LGL
48.7630165,11.4250395,Ingolstadt,Ingolstadt Stadt
48.1631581,11.5429304,München Stadt,München Stadt
47.8480557,12.0334752,Rosenheim Stadt,Rosenheim Stadt
48.2268085,12.6757914,Altötting,Altötting
47.7494467,12.9216667,Berchtesgadener Land,Berchtesgadener Land
47.7825524,11.4873095,Bad Tölz-Wolfratshausen,Bad Tölz-Wolfratshausen
48.2592477,11.4354419,Dachau,Dachau
48.0765786,11.9647521,Ebersberg,Ebersberg
48.8918096,11.1850075,Eichstätt,Eichstätt
48.3064441,11.9076579,Erding,Erding
48.4008273,11.7439565,Freising,Freising
48.1813797,11.2382125,Fürstenfeldbruck,Fürstenfeldbruck
47.4938359,11.103992,Garmisch-Partenkirchen,Garmisch-Partenkirchen
48.0514973,10.8737728,Landsberg am Lech,Landsberg am Lech
47.790025,11.8335417,Miesbach,Miesbach
48.2405007,12.5250991,Mühldorf a. Inn,Mühldorf a.Inn
48.07,11.63,München Landkreis,München Land
48.6536944,11.2250111,Neuburg-Schrobenhausen,Neuburg-Schrobenhausen
48.5296743,11.5084954,Pfaffenhofen a.d. Ilm,Pfaffenhofen a.d.Ilm
47.88,12.16,Rosenheim Landkreis,Rosenheim
48.0001038,11.3508972,Starnberg,Starnberg
47.8701474,12.6423403,Traunstein,Traunstein
47.7907915,11.0631564,Weilheim-Schongau,Weilheim-Schongau
48.5386783,12.1525907,Landshut Stadt,Landshut Stadt
48.4029845,13.3117202,Passau Stadt,Passau Stadt
48.8831501,12.5036131,Straubing Stadt,Straubing Stadt
48.7814115,13.0006423,Deggendorf,Deggendorf
48.81666,13.481332,Freyung-Grafenau,Freyung-Grafenau
48.9187285,11.8727886,Kelheim,Kelheim
48.6696026,12.0397523,Landshut Landkreis,Landshut
48.5273811,13.2702733,Passau Landkreis,Passau
48.9700842,13.1262631,Regen,Regen
48.411799,12.8459952,Rottal-Inn,Rottal-Inn
48.9270243,12.6265811,Straubing-Bogen,Straubing-Bogen
48.6366667,12.5877667,Dingolfing-Landau,Dingolfing-Landau
49.4454211,11.858728,Amberg,Amberg Stadt
49.0170214,12.1028721,Regensburg Stadt,Regensburg Stadt
49.6752749,12.1631636,Weiden i.d. OPf.,Weiden Stadt
49.4801852,11.7836407,Amberg-Sulzbach,Amberg-Sulzbach
49.2178194,12.6663832,Cham,Cham
49.279624,11.4594662,Neumarkt i.d. OPf.,Neumarkt i.d.Opf.
49.7314121,12.1732938,Neustadt a.d. Waldnaab,Neustadt a.d. Waldnaab
48.9940966,12.194331,Regensburg Landkreis,Regensburg
49.3261854,12.1092708,Schwandorf,Schwandorf
49.8780269,12.3372014,Tirschenreuth,Tirschenreuth
49.8805046,10.8990423,Bamberg Stadt,Bamberg Stadt
51.1181534,13.7835971,Bayreuth Stadt,Bayreuth Stadt
49.1902935,9.6430252,Coburg Stadt,Coburg Stadt
50.2603179,10.9054765,Coburg,Coburg
50.3219015,11.9178807,Hof Stadt,Hof Stadt
51.9428466,10.8302512,Bamberg Landkreis,Bamberg Landkreis
49.885618,10.8235644,Bamberg,Bamberg
49.8738954,11.5530771,Bayreuth Landkreis,Bayreuth
50.2700,10.9400,Coburg Landkreis,Coburg Landkreis
49.7186937,11.0596433,Forchheim,Forchheim
50.1977337,11.9314757,Hof Landkreis,Hof
50.2397846,11.3277669,Kronach,Kronach
50.1008448,11.4479149,Kulmbach,Kulmbach
50.14568,11.06382,Lichtenfels,Lichtenfels
50.0373241,12.0027278,Wunsiedel i. Fichtelgebirge,Wunsiedel i.Fichtelgebirge
49.3028611,10.5722288,Ansbach Stadt,Ansbach Stadt
49.5981187,11.003645,Erlangen,Erlangen Stadt
49.477263,10.989616,Fürth Stadt,Fürth Stadt
49.453872,11.077298,Nürnberg,Nürnberg Stadt
49.3346915,11.0294139,Schwabach,Schwabach Stadt
49.224,10.5950,Ansbach Landkreis,Ansbach
49.64042,10.930096,Erlangen-Höchstadt,Erlangen-Höchstadt
49.4500,10.8500,Fürth Landkreis,Fürth
49.5091089,11.3569618,Nürnberger Land,Nürnberger Land
49.583431,10.4145487,Neustadt a.d. Aisch-Bad Windsheim,Neustadt a.d. Aisch-Bad Windsheim
49.1952934,11.0566523,Roth,Roth/Schwabach
49.24703,11.0889223,Roth,Roth
49.0315645,10.9297625,Weißenburg-Gunzenhausen,Weißenburg-Gunzenhausen
49.970649,9.0890841,Aschaffenburg Stadt,Aschaffenburg Stadt
50.0470978,10.2448522,Schweinfurt Stadt,Schweinfurt Stadt
49.8197953,9.959961,Würzburg Stadt,Würzburg Stadt
49.9398326,9.0652804,Aschaffenburg Landkreis,Aschaffenburg
50.1983954,10.0750993,Bad Kissingen,Bad Kissingen
50.4690931,10.0953931,Rhön-Grabfeld,Rhön-Grabfeld
50.0591577,10.6106885,Haßberge,Haßberge
49.7339751,10.161216,Kitzingen,Kitzingen
49.7017584,9.2559718,Miltenberg,Miltenberg
49.9083923,9.6738964,Main-Spessart,Main-Spessart
50.018735,10.2524203,Schweinfurt Landkreis,Schweinfurt
49.66,10,Würzburg Landkreis,Würzburg
48.3433639,10.8951546,Augsburg Stadt,Augsburg Stadt
47.8803788,10.622246,Kaufbeuren,Kaufbeuren Stadt
47.7267063,10.3168835,Kempten (Allgäu),Kempten (Allgäu)
47.9867696,10.181319,Memmingen,Memmingen Stadt
48.4321769,11.0515792,﻿Aichach-Friedberg,﻿Aichach-Friedberg
48.35,10.73,Augsburg Landkreis,Augsburg Land
48.5812458,10.4952243,Dillingen a.d. Donau,Dillingen a.d. Donau
48.4539028,10.2785509,Günzburg,Günzburg
48.3954965,10.00589,Neu-Ulm,Neu-Ulm
47.550753,9.6926624,Lindau (Bodensee),Lindau (Bodensee)
47.8025889,10.6259267,Ostallgäu,Ostallgäu
48.033975,10.35,Unterallgäu,Unterallgäu
48.8148705,10.69735,Donau-Ries,Donau-Ries
47.6130964,10.270825,Oberallgäu,Oberallgäu
47.6130964,10.270825,Oberallgäu,Oberallgäu
47.7848975,11.5009998,Bad Tölz, Bad Tölz
48.945806,9.4705243,derzeit noch unbekannt, derzeit noch unbekannt
